# Datos de número de incendios (conatos+incendios) e superficie (ha) en España. Tomados dos anuarios estatísticos do Ministerio de Medio Ambiente:
# https://www.miteco.gob.es/es/biodiversidad/temas/incendios-forestales/estadisticas-incendios.html
# Desde 2016 en adiante, datos procedentes dos correspondentes Avances informativos.
# Compilados por: Eduardo Corbelle
# Última consulta: 26 febreiro de 2024

ano,numero,sup.arborada,sup.rasa
1961,1680,34506,12195
1962,2022,23911,31571
1963,1302,13279,9400
1964,1645,17671,13727
1965,1686,21777,16241
1966,1443,24644,24710
1967,2299,33930,42645
1968,2109,20547,36081
1969,1494,19296,34423
1970,3203,34330,52994
1971,1714,13194,21751
1972,2148,18048,39235
1973,3765,40559,54698
1974,3980,58789,81442
1975,4242,111091,76223
1976,4596,79853,82447
1977,2148,26454,41086
1978,8324,159264,275603
1979,7167,119579,152139
1980,7193,92503,173451
1981,10882,141667,156769
1982,6443,63879,87765
1983,4880,57832,59767
1984,7649,53805,110893
1985,12284,178106,308221
1986,7574,120989,156524
1987,8679,48893,96900
1988,9595,36265,93724
1989,20384,173765,236416
1990,12474,73305,130738
1991,13011,109880,134826
1992,15895,25827,64631
1993,14241,33388,55879
1994,19263,250433,187202
1995,25827,42389,101095
1996,16772,10538,49287
1997,22319,21326,77177
1998,22338,42659,90154
1999,18237,24034,58183
2000,24117,46138,142448
2001,19547,19363,73935
2002,19929,25197,82275
2003,18617,53674,94499
2004,21394,51711,81460
2005,25492,69350,119322
2006,16334,71083,84280
2007,10932,29403,56710
2008,11656,8443,41878
2009,15642,40393,79498
2010,11722,10185,44585
2011,16414,18847,83313
2012,15978,81832,135061
2013,10797,17704,43986
2014,9771,9094,30428
2015,11928,33494,94115
2016,8817,23173,59378
2017,13793,66839,178233
2018,7143,4739,25162
2019,10883,26252,83962
2020,8068,17474,66783
2021,8780,24503,87879
2022,10507,115175,152771
