# Datos de número de incendios (conatos+incendios) e superficie (ha) en Galicia. Tomados dos anuarios estatísticos do Ministerio de Medio Ambiente:
# https://www.miteco.gob.es/es/biodiversidad/temas/incendios-forestales/estadisticas-incendios.html
# Desde 2016 en adiante, datos procedentes dos correspondentes Avances informativos.O número de 
# Compilados por: Eduardo Corbelle
# Última consulta: 26 febreiro de 2024

ano,numero,sup.arborada,sup.rasa
1968,376,5462,5657
1969,513,12681,7123
1970,1165,6976,10669
1971,459,3456,3950
1972,1104,10036,18832
1973,1449,13926,17665
1974,1414,19974,22095
1975,1923,46198,29619
1976,2146,47395,32450
1977,402,2295,1617
1978,3642,56380,63253
1979,3506,35506,44799
1980,1974,10355,14257
1981,5086,54619,62818
1982,2394,16211,20053
1983,841,2530,5447
1984,2924,16900,21988
1985,4721,40860,66635
1986,2370,14503,16478
1987,3900,22614,37978
1988,3895,13112,25477
1989,8243,85108,113534
1990,4045,18740,32486
1991,4717,3488,9366
1992,8145,2586,9707
1993,6339,1306,5745
1994,8480,1732,13665
1995,15253,11926,34758
1996,10261,3469,20544
1997,14317,5586,23100
1998,9117,11093,37988
1999,8593,2461,8053
2000,12589,10144,35888
2001,9985,4014,14338
2002,10773,7578,18546
2003,8553,4548,14873
2004,10618,10128,21976
2005,11973,22131,57452
2006,6996,55532,40414
2007,3157,1190.9,5860.1
2008,2546,998.2,5337.6
2009,3971,2275.4,8464.3
2010,3852,3034.98,11772.36
2011,6342,9270.38,33121.79
2012,3794,5038.74,10559.43
2013,3581,7747.40,12028.48
2014,1227,502.83,1488.31
2015,2882,4490,7311
2016,2400,8845,12266
2017,3249,29278,32623
2018,1436,739.63,1878.46
2019,1676,3053.11,3792.54
2020,1540,1964.89,12826.44
2021,954,2270.77,2125.95
2022,1716,16768.36,34727.67
